DataNumberSFAFItem,TYPE,Title,SPECTRUMXXI Tags,MaximumLengthsInput,OccurrencesMaximum,IRACTo,GMF Tags,ISARRAY,FieldName,Description,Column,Type
102,ADMINISTRATIVE DATA,Agency Serial Number,SER,10,1,Y,SER,FALSE,102,"The agency serial number is required for all types of actions that will be entered into the FRRS central database. The serial number is formatted as AAAAYYNNNN. The agency abbreviation (identifier) for the assignment (as defined in the NTIA Manual or as listed below) is entered in characters 1-4 (AAAA). When AAAA is less than four characters, trailing spaces are required; the next two numbers (YY) identify the calendar year in which the assignment initially is processed; the following four numbers (NNNN) are specified to uniquely identify the assignment. The following are agency serial number identifiers for MILDEP/JFP frequency assignments",sfaf.agency_serial_number,str(10)
103,ADMINISTRATIVE DATA,IRAC Docket Number,AUS,8,10,N,AUS,TRUE,103,,sfaf.irac_docket_number,str(8)
105,ADMINISTRATIVE DATA,List Serial Number,LSN,10,1,Y,LSR,FALSE,105,,sfaf.list_serial_number,str(10)
106,ADMINISTRATIVE DATA,"Serial Replaced, Delete Date","SRS,SEX","10,8",1,Y,"SRS,SEX",FALSE,106,,sfaf.serial_replaced_delete_date,str(10)
107,ADMINISTRATIVE DATA,Authorization Date,AUD,8,1,N,AUD,FALSE,107,,sfaf.authorization_date,str(8)
108,ADMINISTRATIVE DATA,DocketAuthorizationsNumbers of Older,DOC,35,30,Y,*DOC,TRUE,108,,sfaf.docketauthorizationsnumbers_of_older,str(35)
110,EMISSION CHARACTERISTICS,Frequency(ies),"FRQ,FRU","11,11-11,11(11)",1,Y,"FRQ,*FRB",FALSE,110,,sfaf.frequencyies,str(11)
111,EMISSION CHARACTERISTICS,Excluded Frequency Band,FBE,23,30,Y,*FBEb,TRUE,111,,sfaf.excluded_frequency_band,str(23)
112,EMISSION CHARACTERISTICS,Frequency Separation Criteria,,35,1,N,,FALSE,112,,sfaf.frequency_separation_criteria,str(35)
113,EMISSION CHARACTERISTICS,Station Class,STC,4,20,Y,STC,TRUE,113,,sfaf.station_class,str(4)
114,EMISSION CHARACTERISTICS,Emission Designator,EMS,11,20,Y,EMS,TRUE,114,,sfaf.emission_designator,str(11)
115,EMISSION CHARACTERISTICS,Transmitter Power,PWR,9,20,Y,PWR,TRUE,115,,sfaf.transmitter_power,str(9)
116,EMISSION CHARACTERISTICS,Power Type,,1,20,N,,TRUE,116,,sfaf.power_type,str(1)
117,EMISSION CHARACTERISTICS,Effective Radiated Power,,6,20,N,,TRUE,117,,sfaf.effective_radiated_power,str(6)
118,EMISSION CHARACTERISTICS,Power/ERP Augmentation,,1,20,N,,TRUE,118,,sfaf.power_erp_augmentation,str(1)
130,TIME/DATE INFORMATION,Time,TME,4,1,Y,TME,FALSE,130,,sfaf.time,str(4)
131,TIME/DATE INFORMATION,Percent Time,,2,1,N,,FALSE,131,,sfaf.percent_time,str(2)
140,TIME/DATE INFORMATION,Required Date,,8,1,N,,FALSE,140,,sfaf.required_date,str(8)
141,TIME/DATE INFORMATION,Expiration Date,EXD,8,1,Y,EXD,FALSE,141,,sfaf.expiration_date,str(8)
142,TIME/DATE INFORMATION,Review Date,,8,1,N,,FALSE,142,,sfaf.review_date,str(8)
143,TIME/DATE INFORMATION,Revision Date,RVD,8,1,N,RVD,FALSE,143,,sfaf.revision_date,str(8)
144,TIME/DATE INFORMATION,Approval Authority Indicator,,1,1,N,,FALSE,144,,sfaf.approval_authority_indicator,str(1)
145,TIME/DATE INFORMATION,ITU BR Registration,,"1,20",1,N,,FALSE,145,,sfaf.itu_br_registration,str(20)
146,TIME/DATE INFORMATION,DCS Trunk ID,,6,20,N,,TRUE,146,,sfaf.dcs_trunk_id,str(6)
147,TIME/DATE INFORMATION,Joint Agencies,JNT,4,20,Y,*JNT,TRUE,147,,sfaf.joint_agencies,str(4)
151,ORGANIZATIONAL INFORMATION,Coordination Indicator,ICI,1,1,Y,ICI,FALSE,151,,sfaf.coordination_indicator,str(1)
152,ORGANIZATIONAL INFORMATION,Coordination Data,,35,30,Y,,TRUE,152,,sfaf.coordination_data,str(35)
200,ORGANIZATIONAL INFORMATION,Agency,,6,1,N,,FALSE,200,,sfaf.agency,str(6)
201,ORGANIZATIONAL INFORMATION,Unified Command,,8,10,N,,TRUE,201,,sfaf.unified_command,str(8)
202,ORGANIZATIONAL INFORMATION,Unified Command Service,,8,10,N,,TRUE,202,,sfaf.unified_command_service,str(8)
203,ORGANIZATIONAL INFORMATION,Bureau,BUR,4,1,Y,BUR,FALSE,203,,sfaf.bureau,str(4)
204,ORGANIZATIONAL INFORMATION,Command,,18,1,N,,FALSE,204,,sfaf.command,str(18)
205,ORGANIZATIONAL INFORMATION,Subcommand,,18,1,N,,FALSE,205,,sfaf.subcommand,str(18)
206,ORGANIZATIONAL INFORMATION,InstallationManager   Frequency,,18,1,N,,FALSE,206,,sfaf.installationmanager_frequency,str(18)
207,ORGANIZATIONAL INFORMATION,Operating Unit,,18,10,N,,TRUE,207,,sfaf.operating_unit,str(18)
208,ORGANIZATIONAL INFORMATION,User Net/Code,NET,6,1,Y5,NET,FALSE,208,,sfaf.user_net_code,str(6)
209,ORGANIZATIONAL INFORMATION,AreaOtherAFC/DoDOrganizationsAFC,,18,10,N,,TRUE,209,,sfaf.areaotherafc_dodorganizationsafc,str(18)
300,TRANSMITTER LOCATION DATA,State/Country,XSC,4,1,Y,XSC,FALSE,300,,sfaf.tx_state_country,str(4)
301,TRANSMITTER LOCATION DATA,Antenna Location,XAL,24,1,Y,XAL,FALSE,301,,sfaf.antenna_location,str(24)
302,TRANSMITTER LOCATION DATA,Station Control,XRC,18,1,Y8,XRC,FALSE,302,,sfaf.station_control,str(18)
303,TRANSMITTER LOCATION DATA,Antenna Coordinates,XLA XLG,15,1,Y,XLA XLG,FALSE,303,,sfaf.antenna_coordinates,str(15)
304,TRANSMITTER LOCATION DATA,Call Sign,XCL,10,1,Y8,XCL,FALSE,304,,sfaf.call_sign,str(10)
306,TRANSMITTER LOCATION DATA,Authorized Radius,XRD,5,1,Y,*RAD,FALSE,306,,sfaf.authorized_radius,str(5)
315,SPACE STATIONS,Equatorial Inclination Angle,XIN,4,1,Y,*ORB,FALSE,315,,sfaf.station_equatorial_inclination_angle,str(4)
316,SPACE STATIONS,Apogee,XAE,5,1,Y,*ORB,FALSE,316,,sfaf.station_apogee,str(5)
317,SPACE STATIONS,Perigee,XPE,5,1,Y,*ORB,FALSE,317,,sfaf.station_perigee,str(5)
318,SPACE STATIONS,Period of Orbit,XPD,7,1,Y,*ORB,FALSE,318,,sfaf.station_period_of_orbit,str(7)
319,SPACE STATIONS,Number of Satellites,XNR,2,1,Y,*ORB,FALSE,319,,sfaf.station_number_of_satellites,str(2)
321,SPACE STATIONS,Power Density,SPD,4,1,Y,SPD,FALSE,321,,sfaf.station_power_density,str(4)
340,TRANSMITTER EQUIPMENT,Equipment Nomenclature,XEQ,"1,18",10,Y,*EQT,TRUE,340,"Data Item 340 has two parts. The first part identifies the type of equipment (government, commercial, or unassigned) and the second part identifies either the standard military nomenclature or the commercial make and model number of the equipment at each specific transmitter station location. If both a military nomenclature and a commercial model number are assigned to the same equipment, the military nomenclature will be used.  Input Requirement: This data item is required. Enter the equipment type code followed by the equipment system or component nomenclature for the transmitter location. (If available, the system nomenclature is preferred rather than the component nomenclature; however, either is acceptable. Data items 340 and 343 are interrelated, and an entry in Data Item 340 should be accompanied by a corresponding entry in Data Item 343, if known. If Data Item 343 is known, enter the nomenclature exactly as it is recorded in the Spectrum Certification System (SCS) database or J-12 document DD Form 1494.) Enter one of the following equipment type codes: G - Government nomenclature C - Commercial model number U - Unassigned nomenclature ",sfaf.equipment_nomenclature,str(18)
341,TRANSMITTER EQUIPMENT,"NumberName   of Stations, System","NTT,NAM","5,29",3,Y,*NRM,TRUE,341,,sfaf.numbername_of_stations_system,str(29)
342,TRANSMITTER EQUIPMENT,Aircraft Nautical Mile Value,XNM,4,1,N,*RAD,FALSE,342,,sfaf.aircraft_nautical_mile_value,str(4)
343,TRANSMITTER EQUIPMENT,EquipmentIdentificationCertificationNumber,,15,10,Y,"*AGN,JFA",TRUE,343,,sfaf.equipmentidentificationcertificationnumber,str(15)
344,TRANSMITTER EQUIPMENT,Off-the-shelf Equipment,EQS,6,10,Y,*EQS,TRUE,344,,sfaf.offtheshelf_equipment,str(6)
345,TRANSMITTER EQUIPMENT,Radar Tunability,TUN,2,1,Y,*EQT,FALSE,345,,sfaf.radar_tunability,str(2)
346,TRANSMITTER EQUIPMENT,Pulse Duration,PDD,"9, 9-9",30,Y,*EQT,TRUE,346,,sfaf.pulse_duration,str(9)
347,TRANSMITTER EQUIPMENT,Pulse Repetition Rate,PRR,"9, 9-9",30,Y,*PRR,TRUE,347,,sfaf.pulse_repetition_rate,str(9)
348,TRANSMITTER EQUIPMENT,Intermediate Frequency,,11,1,N,,FALSE,348,,sfaf.intermediate_frequency,str(11)
349,TRANSMITTER ANTENNA DATA,Sidelobe Suppression,,1,1,N,,FALSE,349,,sfaf.sidelobe_suppression,str(1)
350,TRANSMITTER ANTENNA DATA,,,,,,,FALSE,350,,,
351,TRANSMITTER ANTENNA DATA,,,,,,,FALSE,351,,,
352,TRANSMITTER ANTENNA DATA,,,,,,,FALSE,352,,,
353,TRANSMITTER ANTENNA DATA,,,,,,,FALSE,353,,,
354,TRANSMITTER ANTENNA DATA,,,,,,,FALSE,354,,,
355,TRANSMITTER ANTENNA DATA,Antenna Structure Nomenclature,XAKXAT,18103,101010,YYN,*EQTXAD,TRUE,355,,sfaf.antenna_structure_nomenclature,str(18103)
356,TRANSMITTER ANTENNA DATA,Antenna Structure Height,,3,10,Y,,TRUE,356,,sfaf.antenna_structure_height,str(3)
357,TRANSMITTER ANTENNA DATA,Antenna Gain,XAG,4,10,Y,"XAD,*EGN, *SGN",TRUE,357,,sfaf.antenna_gain,str(4)
358,TRANSMITTER ANTENNA DATA,Antenna Elevation,XSE,5,10,Y,XAD,TRUE,358,,sfaf.antenna_elevation,str(5)
359,TRANSMITTER ANTENNA DATA,Antenna Feedpoint Height,XAH,5,10,Y,XAD,TRUE,359,,sfaf.antenna_feedpoint_height,str(5)
361,TRANSMITTER ANTENNA DATA,Antenna Vertical Beamwidth,,3,10,N,,TRUE,361,,sfaf.antenna_vertical_beamwidth,str(3)
360,TRANSMITTER ANTENNA DATA,Antenna Horizontal Beamwidth,XBW,4,10,Y,"XAD,*EBWb,*SBW",TRUE,360,,sfaf.antenna_horizontal_beamwidth,str(4)
362,TRANSMITTER ANTENNA DATA,Antenna Orientation,XAZ,3,10,,,TRUE,362,,sfaf.antenna_orientation,str(3)
363,TRANSMITTER ANTENNA DATA,Antenna Polarization,XAP,1,10,,,TRUE,362,,sfaf.antenna_polarization,str(1)
373,TRANSMITTER ANTENNA DATA,JSC Area Code,,1,1,N,,FALSE,373,,sfaf.jsc_area_code,str(1)
374,TRANSMITTER ANTENNA DATA,ITU Region,,1,1,N,,FALSE,374,,sfaf.itu_region,str(1)
400,RECEIVER LOCATION DATA,State/Country,RSC,4,1,Y,RSC,FALSE,400,,sfaf.rx_state_country,str(4)
401,RECEIVER LOCATION DATA,Antenna Location,RAL,24,1,Y,RAL,FALSE,401,,sfaf.rx_antenna_location,str(24)
402,RECEIVER LOCATION DATA,Receiver Control,RRC,18,1,Y8,RRC,FALSE,402,,sfaf.receiver_control,str(18)
403,RECEIVER LOCATION DATA,Antenna Coordinates,RLA RLG,15,1,Y,RLA RLG,FALSE,403,,sfaf.rx_antenna_coordinates,str(15)
404,RECEIVER LOCATION DATA,Call Sign,RCL,10,1,Y8,ACL,FALSE,404,,sfaf.rx_call_sign,str(10)
406,RECEIVER LOCATION DATA,Authorized Radius,RRD,4,1,Y,*RAD,FALSE,406,,sfaf.rx_authorized_radius,str(4)
407,RECEIVER LOCATION DATA,Path Length,,5,1,N,,FALSE,407,,sfaf.rx_path_length,str(5)
408,RECEIVER LOCATION DATA,Repeater Indicator,RPT,1,1,Y,*RPTb,FALSE,408,,sfaf.rx_repeater_indicator,str(1)
415,SPACE STATIONS,Equatorial Inclination Angle,RIN,4,1,Y,*ORB,FALSE,415,,sfaf.equatorial_inclination_angle,str(4)
416,SPACE STATIONS,Apogee,RAE,5,1,Y,*ORB,FALSE,416,,sfaf.apogee,str(5)
417,SPACE STATIONS,Perigee,RPE,5,1,Y,*ORB,FALSE,417,,sfaf.perigee,str(5)
418,SPACE STATIONS,Period of Orbit,RPD,7,1,Y,*ORB,FALSE,418,,sfaf.period_of_orbit,str(7)
419,SPACE STATIONS,Number of Satellites,RNR,2,1,Y,*ORB,FALSE,419,,sfaf.number_of_satellites,str(2)
440,RECEIVER EQUIPMENT,Equipment Nomenclature,REQ,"1,18",10,Y,*EQR,TRUE,440,,sfaf.rx_equipment_nomenclature,str(18)
442,RECEIVER EQUIPMENT,Aircraft Nautical Mile Value,RNM,4,1,N,*RAD,FALSE,442,,sfaf.rx_aircraft_nautical_mile_value,str(4)
443,RECEIVER EQUIPMENT,EquipmentIdentificationCertificationNumber,,15,10,N,,TRUE,443,,sfaf.rx_equipidcertnumber,str(15)
454,RECEIVER ANTENNA DATA,Antenna Name,RAT,10,10,Y,RAD,TRUE,454,,sfaf.rx_antenna_name,str(10)
455,RECEIVER ANTENNA DATA,Antenna Nomenclature,RAK,18,10,Y,*EQR,TRUE,455,,sfaf.rx_antenna_nomenclature,str(18)
456,RECEIVER ANTENNA DATA,Antenna Structure Height,,3,10,N,,TRUE,456,,sfaf.rx_antenna_structure_height,str(3)
457,RECEIVER ANTENNA DATA,Antenna Gain,RAG,4,10,Y,"RAD,*SGN*EGN",TRUE,457,,sfaf.rx_antenna_gain,str(4)
458,RECEIVER ANTENNA DATA,Antenna Elevation,RSE,5,10,Y,RAD,TRUE,458,,sfaf.rx_antenna_elevation,str(5)
459,RECEIVER ANTENNA DATA,Antenna Feedpoint Height,RAH,5,10,Y,RAD,TRUE,459,,sfaf.rx_antenna_feedpoint_height,str(5)
460,RECEIVER ANTENNA DATA,Antenna Horizontal Beamwidth,RBW,4,10,Y,"RAD,*EBW,*SBW",TRUE,460,,sfaf.rx_antenna_horizontal_beamwidth,str(4)
461,RECEIVER ANTENNA DATA,Antenna Vertical Beamwidth,,3,10,N,,TRUE,461,,sfaf.rx_antenna_vertical_beamwidth,str(3)
462,RECEIVER ANTENNA DATA,Antenna Orientation,"RAZ,RAA","3,3-33,3",10,Y,"RAZ,RAD",TRUE,462,,sfaf.rx_antenna_orientation,str(33)
463,RECEIVER ANTENNA DATA,Antenna Polarization,RAP,1,10,Y,RAP,TRUE,463,,sfaf.rx_antenna_polarization,str(1)
470,RECEIVER ANTENNA DATA,Space Station Noise Temperature,SNT,10,,N,,FALSE,470,,sfaf.space_station_noise_temperature,str(10)
471,RECEIVER ANTENNA DATA,Earth Station System Noise,RNT,10,,N,,FALSE,471,,sfaf.earth_station_system_noise,str(10)
472,RECEIVER ANTENNA DATA,Equivalent Satellite Link Noise,ENT,10,,N,,FALSE,472,,sfaf.equivalent_satellite_link_noise,str(10)
473,RECEIVER ANTENNA DATA,JSC Area Code,,1,1,N,,FALSE,473,,sfaf.rx_jsc_area_code,str(1)
500,SUPPLEMENTARY DETAILS,IRAC Notes,NTS,4,10,Y,NTS,TRUE,500,,sfaf.irac_notes,str(4)
501,SUPPLEMENTARY DETAILS,Notes free-text Comments,NOT,35,30,Y,*NTS,TRUE,501,,sfaf.notes_freetext_comments,str(35)
502,SUPPLEMENTARY DETAILS,Description of Requirement,GEN,1440,1,N,,FALSE,502,,sfaf.description_of_requirement,str(1440)
503,SUPPLEMENTARY DETAILS,Agency Free-text Comments,AGN,35,30,Y,*AGN,TRUE,503,,sfaf.agency_freetext_comments,str(35)
504,DataNumberSFAFItem,FASCommentsAgenda,FAS,72,5,Y,FAS,TRUE,504,,sfaf.fascommentsagenda,str(72)
505,DataNumberSFAFItem,NATONumberPooled Frequency Code,,5,1,N,b,FALSE,505,,sfaf.natonumberpooled_frequency_code,str(5)
506,DataNumberSFAFItem,Paired Frequency,PRD,"11,10,12",30,Y,*PRDb,TRUE,506,,sfaf.paired_frequency,str(12)
511,DataNumberSFAFItem,Major Function Identifier,MFI,30,1,Y,*MFIb,FALSE,511,,sfaf.major_function_identifier,str(30)
512,DataNumberSFAFItem,Intermediate Function Identifier,IFI,30,1,Y,*IFI b,FALSE,512,,sfaf.intermediate_function_identifier,str(30)
513,DataNumberSFAFItem,Detailed Function Identifier,DFI,30,5,Y,*DFI,TRUE,513,,sfaf.detailed_function_identifier,str(30)
520,DataNumberSFAFItem,Supplementary Details,SUP,1080,1,Y,SUP,FALSE,520,,sfaf.supplementary_details,str(1080)
521,DataNumberSFAFItem,TransitionPlanning Dataand Narrow Band,TRN,"8,13",1,Y,*TRNb,FALSE,521,,sfaf.transitionplanning_dataand_narrow_band,str(13)
530,DataNumberSFAFItem,Authorized Areas,"XAR,RAR,ARB","3,35",30,Y,"*ART,*ARR,*ARB",TRUE,530,,sfaf.authorized_areas,str(35)
531,DataNumberSFAFItem,Authorized States,AST,"3,35",6,Y,"**LST,*LSR,*LSB,*EST,ESR,*ESB",TRUE,531,,sfaf.authorized_states,str(35)
701,OTHER ASSIGNMENT IDENTIFIERS,Frequency Action Officer,,3,1,Y,"*AGN,FAO",FALSE,701,,sfaf.frequency_action_officer,str(3)
702,OTHER ASSIGNMENT IDENTIFIERS,Control/Request Number,,15,1,Y,"*AGN,CNO",FALSE,702,,sfaf.control_request_number,str(15)
704,OTHER ASSIGNMENT IDENTIFIERS,Type of Service,,1,1,Y,"*AGN,TOS",FALSE,704,,sfaf.type_of_service,str(1)
707,OTHER ASSIGNMENT IDENTIFIERS,PACOM Function NumberComplement/FMSC,,8,20,N,,TRUE,707,,sfaf.pacom_function_numbercomplement_fmsc,str(8)
710,OTHER ASSIGNMENT IDENTIFIERS,Host Country Docket Number,,35,10,N,,TRUE,710,,sfaf.host_country_docket_number,str(35)
711,OTHER ASSIGNMENT IDENTIFIERS,Aeronauticaland Height  Service Range,,6,1,N,,FALSE,711,,sfaf.aeronauticaland_height_service_range,str(6)
715,OTHER ASSIGNMENT IDENTIFIERS,TransmitterNumber    FMSC MRFL,,14,1,N,,FALSE,715,,sfaf.transmitternumber_fmsc_mrfl,str(14)
716,OTHER ASSIGNMENT IDENTIFIERS,Usage Code,,1,1,N,,FALSE,716,,sfaf.usage_code,str(1)
801,ADDITIONAL INFORMATION,Coordination Data/Remarks,,60,20,N,,TRUE,801,,sfaf.coordination_data_remarks,str(60)
803,ADDITIONAL INFORMATION,Requestor Data,POC,60,1,N,,FALSE,803,,sfaf.requestor_data,str(60)
804,ADDITIONAL INFORMATION,Tuning Range/Tuning Increments,,60,30,N,,TRUE,804,,sfaf.tuning_range_tuning_increments,str(60)
805,ADDITIONAL INFORMATION,Date Response Required,,8,1,N,,FALSE,805,,sfaf.date_response_required,str(8)
806,ADDITIONAL INFORMATION,Indication are Acceptable,,60,10,N,,TRUE,806,,sfaf.indication_are_acceptable,str(60)
807,ADDITIONAL INFORMATION,Frequencies to be Deleted,,60,10,N,,TRUE,807,,sfaf.frequencies_to_be_deleted,str(60)
901,ADDITIONAL INFORMATION,Record Status,,1,1,N,,FALSE,901,,sfaf.record_status,str(1)
903,ADDITIONAL INFORMATION,Proposal Status,CPS,4,20,N,,TRUE,903,,sfaf.proposal_status,str(4)
904,ADDITIONAL INFORMATION,Status Date,STD,8,20,N,,TRUE,904,,sfaf.status_date,str(8)
905,ADDITIONAL INFORMATION,Proposal Date Time Group,,14,1,N,,FALSE,905,,sfaf.proposal_date_time_group,str(14)
906,ADDITIONAL INFORMATION,Originator,,66,1,N,,FALSE,906,,sfaf.originator,str(66)
907,ADDITIONAL INFORMATION,Validation Status,,1,1,N,,FALSE,907,,sfaf.validation_status,str(1)
910,ADDITIONAL INFORMATION,Exercise Project,,20,1,N,,FALSE,910,,sfaf.exercise_project,str(20)
911,ADDITIONAL INFORMATION,Date of Last Transaction,DAT,8,1,N,,FALSE,911,,sfaf.date_of_last_transaction,str(8)
924,ADDITIONAL INFORMATION,Data Source Indicator,,4,1,N,,FALSE,924,,sfaf.data_source_indicator,str(4)
926,ADDITIONAL INFORMATION,Semi-Bandwidth,,12,1,N,,FALSE,926,,sfaf.semibandwidth,str(12)
927,ADDITIONAL INFORMATION,Date of Entry,,8,1,N,,FALSE,927,,sfaf.date_of_entry,str(8)
928,ADDITIONAL INFORMATION,Date of Receipt,,8,1,N,,FALSE,928,,sfaf.date_of_receipt,str(8)
950,ADDITIONAL INFORMATION,PC ID,PCI,10,1,N,,FALSE,950,,sfaf.pc_id,str(10)
952,ADDITIONAL INFORMATION,IRAC Security Classification,,1,1,Y,CLA,FALSE,952,,sfaf.irac_security_classification,str(1)
953,ADDITIONAL INFORMATION,IRAC Declassification Date,,10,1,Y,CDD,FALSE,953,,sfaf.irac_declassification_date,str(10)
956,ADDITIONAL INFORMATION,Agency Action Number,ACN,10,1,Y,ACN,FALSE,956,,sfaf.agency_action_number,str(10)
957,ADDITIONAL INFORMATION,Review Year,RYR,4,1,Y,RYR,FALSE,957,,sfaf.review_year,str(4)
958,ADDITIONAL INFORMATION,Routine Agenda Item,RTN,1,1,Y,RTN,FALSE,958,,sfaf.routine_agenda_item,str(1)
959,ADDITIONAL INFORMATION,Circuit Remarks,REM,40,30,N,REM,TRUE,959,,sfaf.circuit_remarks,str(40)
963,ADDITIONAL INFORMATION,FCC File Number,FLN,22,1,Y,*FLN,FALSE,963,,sfaf.fcc_file_number,str(22)
964,ADDITIONAL INFORMATION,Tx Aircraft Altitude,,3,10,N,XAD,TRUE,964,,sfaf.tx_aircraft_altitude,str(3)
965,ADDITIONAL INFORMATION,Rx Aircraft Altitude,,3,10,N,RAD,TRUE,965,,sfaf.rx_aircraft_altitude,str(3)
982,ADDITIONAL INFORMATION,JCEOI Line Number,,5,1,N,,FALSE,982,,sfaf.jceoi_line_number,str(5)
983,ADDITIONAL INFORMATION,JCEOI Master Net List Name,,16,1,N,,FALSE,983,,sfaf.jceoi_master_net_list_name,str(16)
984,ADDITIONAL INFORMATION,Net Frequency Range,,11,1,N,,FALSE,984,,sfaf.net_frequency_range,str(11)
985,ADDITIONAL INFORMATION,Joint Restricted Frequency List (JRFL) Protection Code,,1,1,N,,FALSE,985,,sfaf.jrfl,str(1)
986,ADDITIONAL INFORMATION,Net Tactical Call Word ,,15,1,N,,FALSE,986,,sfaf.net_tactical_call_word,str(15)
987,ADDITIONAL INFORMATION,Net Tactical Call Sign,,3,1,N,,FALSE,987,,sfaf.net_tactical_call_sign,str(3)
988,ADDITIONAL INFORMATION,Net Tactical Air Designator  (TAD),,5,1,N,,FALSE,988,,sfaf.net_tactical_air_designator_tad,str(5)
989,ADDITIONAL INFORMATION,Net Color Word ,,16,1,N,,FALSE,989,,sfaf.net_color_word,str(16)
990,ADDITIONAL INFORMATION,Net Color Number,,2,1,N,,FALSE,990,,sfaf.net_color_number,str(2)
991,ADDITIONAL INFORMATION,Net Restoral Priority,,3,1,N,,FALSE,991,,sfaf.net_restoral_priority,str(3)
992,ADDITIONAL INFORMATION,Net Push Number,,3,1,N,,FALSE,992,,sfaf.net_push_number,str(3)
993,ADDITIONAL INFORMATION,Band Usage ,,1,1,N,,FALSE,993,,sfaf.band_usage,str(1)
994,ADDITIONAL INFORMATION,Check Sum,,1,1,N,,FALSE,994,,sfaf.check_sum,str(1)
995,ADDITIONAL INFORMATION,COMSEC Keymat,,15,1,N,,FALSE,995,,sfaf.comsec_keymat,str(15)
996,ADDITIONAL INFORMATION,"Circuit Type, Line Item, Group ",,8,1,N,,FALSE,996,,sfaf.circuittype_lineitem_group,str(8)
997,ADDITIONAL INFORMATION,JCEOI Special Net Instructions ,,63,1,N,,FALSE,997,,sfaf.jceoi_special_net_instructions,str(63)
998,ADDITIONAL INFORMATION,Net Notes,,3,1,N,,FALSE,998,,sfaf.net_notes,str(3)
999,ADDITIONAL INFORMATION,Guard Requirements ,,20,50,N,,TRUE,999,,sfaf.guard_requirements,str(20)
